running pipelined_tree w/ n=2 and ppn=1

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
262144                260.16
524288                501.93
1048576               969.47
 
running binomial w/ n=3 and ppn=1

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.62
2                       2.67
4                       2.62
8                       2.62
16                      2.61
32                      2.60
64                      2.60
128                     2.99
256                     6.69
512                     6.78
1024                    7.08
2048                    7.40
4096                    7.50
8192                   12.59
16384                  13.22
32768                  14.43
65536                  16.86
131072                 21.45
262144                 30.47
524288                 48.65
1048576                84.70
 
running binomial w/ n=3 and ppn=12

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.01
2                       4.94
4                       4.79
8                       4.79
16                      4.81
32                      4.79
64                      4.90
128                     5.29
256                    11.91
512                    12.35
1024                   12.91
2048                   13.91
4096                   15.18
8192                   25.08
16384                  37.64
32768                  46.87
65536                  55.37
131072                 86.22
262144                142.37
524288                260.31
1048576               492.67
 
running binomial w/ n=3 and ppn=48

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.62
2                       5.45
4                       5.31
8                       5.34
16                      5.21
32                      5.31
64                      5.65
128                     5.88
256                    12.47
512                    13.22
1024                   14.01
2048                   15.54
4096                   17.27
8192                   28.52
16384                  46.85
32768                  60.69
65536                  73.91
131072                116.66
262144                204.49
524288                382.85
1048576               733.39
 
running binomial w/ n=3 and ppn=96

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.53
2                       6.55
4                       6.44
8                       6.42
16                      6.47
32                      6.51
64                      6.55
128                     7.02
256                    14.40
512                    15.45
1024                   16.57
2048                   18.43
4096                   21.26
8192                   33.91
16384                  59.88
32768                  78.61
65536                  93.27
131072                150.02
262144                274.42
524288                524.53
1048576               996.01
 
running binomial w/ n=4 and ppn=1

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.15
2                       3.11
4                       3.11
8                       3.09
16                      3.10
32                      3.08
64                      3.08
128                     3.42
256                     7.85
512                     8.00
1024                    8.21
2048                    8.60
4096                    8.67
8192                   14.55
16384                  15.31
32768                  16.58
65536                  19.53
131072                 25.18
262144                 35.95
524288                 57.58
1048576               100.95
 
running binomial w/ n=4 and ppn=12

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.38
2                       5.28
4                       5.21
8                       5.25
16                      5.20
32                      5.21
64                      5.33
128                     5.96
256                    11.58
512                    12.13
1024                   12.66
2048                   13.68
4096                   14.83
8192                   25.06
16384                  37.57
32768                  46.74
65536                  54.61
131072                 84.39
262144                138.57
524288                252.00
1048576               476.38
 
running binomial w/ n=4 and ppn=48

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       7.47
2                       7.20
4                       6.23
8                       6.13
16                      6.16
32                      6.25
64                      6.44
128                     6.80
256                    12.84
512                    13.65
1024                   14.33
2048                   15.55
4096                   17.60
8192                   28.77
16384                  47.19
32768                  60.99
65536                  73.82
131072                117.66
262144                203.94
524288                381.24
1048576               729.36
 
running binomial w/ n=4 and ppn=96

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       7.36
2                       7.40
4                       7.41
8                       7.39
16                      7.40
32                      7.38
64                      7.57
128                     8.25
256                    14.16
512                    15.16
1024                   16.50
2048                   18.29
4096                   21.06
8192                   33.89
16384                  60.03
32768                  78.69
65536                  92.88
131072                149.57
262144                271.26
524288                510.74
1048576               983.22
 
running circ_vring w/ n=2 and ppn=1

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.72
2                       1.76
4                       1.72
8                       1.71
16                      1.71
32                      1.73
64                      1.78
128                     2.25
256                     4.35
512                     4.37
1024                    4.57
2048                    4.75
4096                    4.72
8192                    7.70
16384                   8.04
32768                   8.74
65536                  10.19
131072                 12.96
262144                 18.43
524288                 29.24
1048576                50.90
 
running circ_vring w/ n=2 and ppn=12

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.15
2                       3.14
4                       3.04
8                       3.04
16                      3.04
32                      3.06
64                      3.18
128                     3.68
256                     5.31
512                     5.76
1024                    6.17
2048                    7.04
4096                    8.41
8192                   13.18
16384                  27.11
32768                  35.92
65536                  63.89
131072                114.52
262144                210.02
524288                405.56
1048576               773.13
 
running circ_vring w/ n=2 and ppn=48

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.22
2                       4.17
4                       4.05
8                       4.09
16                      4.05
32                      4.04
64                      4.26
128                     4.83
256                     6.34
512                     7.01
1024                    7.71
2048                    8.92
4096                   11.20
8192                   17.59
16384                  40.35
32768                  56.24
65536                 103.95
131072                191.51
262144                372.57
524288                719.96
1048576              1427.31
 
running circ_vring w/ n=2 and ppn=96

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.33
2                       5.29
4                       5.06
8                       5.09
16                      5.06
32                      5.07
64                      5.12
128                     5.77
256                     7.43
512                     8.43
1024                    9.70
2048                   11.51
4096                   15.09
8192                   24.18
16384                  57.09
32768                  82.08
65536                 145.16
131072                274.23
262144                521.87
524288               1013.36
1048576              2006.50
 
running circ_vring w/ n=3 and ppn=1

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.45
2                       2.38
4                       2.40
8                       2.40
16                      2.40
32                      2.40
64                      2.41
128                     2.68
256                     5.91
512                     6.02
1024                    6.18
2048                    6.50
4096                    6.60
8192                   11.21
16384                  11.83
