running ring w/ n=10 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
64                     30.05
128                    32.31
256                    36.52
512                    41.46
1024                   45.80
2048                   49.48
4096                   59.01
8192                   99.90
16384                 186.50
32768                 280.96
65536                 637.05
131072                983.92
262144               1956.79
524288               3972.52
1048576              6971.00
 
running reduce_scatter_allgather w/ n=10 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      31.56
8                      30.47
16                     30.58
32                     30.33
64                     30.52
128                    32.25
256                    36.74
512                    40.70
1024                   45.51
2048                   60.76
4096                   65.95
8192                   83.14
16384                 101.07
32768                 208.85
65536                 332.50
131072                506.60
262144                549.94
524288               1062.51
1048576              2115.94
 
running circ_vring w/ n=10 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      35.28
8                      34.47
16                     34.14
32                     33.97
64                     34.32
128                    35.99
256                    48.97
512                    50.90
1024                   52.08
2048                   67.74
4096                   73.57
8192                  121.80
16384                 226.33
32768                 367.46
65536                 594.02
131072               3157.42
262144               5861.84
524288              12043.51
1048576             25408.84
 
running circ_rrs_ag w/ n=10 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      50.98
8                      52.25
16                     55.17
32                     58.49
64                     62.24
128                    69.51
256                    81.95
512                   120.83
1024                  226.29
2048                  407.20
4096                  470.33
8192                  289.80
16384                 309.72
32768                 323.16
65536                 378.90
131072                961.92
262144               2183.10
524288               5255.49
1048576             11103.88
 
running circ_rs_ag w/ n=10 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      47.31
8                      48.44
16                     50.77
32                     53.42
64                     56.28
128                    60.64
256                    67.31
512                    91.05
1024                  142.35
2048                  281.26
4096                  341.47
8192                  107.37
16384                 117.79
32768                 146.20
65536                 211.47
131072                326.50
262144                625.04
524288               1103.17
1048576              2326.84
 
running ring w/ n=11 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     342.42
8                     346.13
16                    348.28
32                    355.11
64                    372.00
128                   404.50
256                   457.48
512                   571.30
1024                  570.59
2048                  570.14
4096                  570.17
8192                  572.70
16384                 575.23
32768                1098.24
65536                1133.77
131072               1182.58
262144               1261.07
524288               1340.76
1048576              2333.93
 
running recursive_doubling w/ n=11 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      20.47
8                      19.76
16                     19.77
32                     19.74
64                     19.97
128                    21.76
256                    25.91
512                    27.22
1024                   29.54
2048                   31.19
4096                   34.68
8192                   54.81
16384                  82.45
32768                 116.22
65536                 203.28
131072                320.12
262144                593.14
524288               1173.24
1048576              2192.48
 
running reduce_scatter_allgather w/ n=11 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      20.41
8                      19.80
16                     19.93
32                     19.80
64                     20.01
128                    21.70
256                    25.85
512                    38.49
1024                   39.63
2048                   41.30
4096                   49.27
8192                   58.35
16384                  68.46
32768                  94.93
65536                 168.56
131072                248.09
262144                450.30
524288                560.17
1048576               909.67
 
running circ_vring w/ n=11 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      23.11
8                      22.51
16                     22.54
32                     22.47
64                     22.65
128                    24.15
256                    37.58
512                    37.35
1024                   38.49
2048                   39.93
4096                   42.68
8192                   74.66
16384                 100.72
32768                 145.64
65536                 224.24
131072                443.09
262144                938.43
524288               1989.22
1048576              3841.05
 
running circ_rrs_ag w/ n=11 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      32.43
8                      34.36
16                     37.80
32                     40.74
64                     44.26
128                    50.23
256                    56.79
512                    67.18
1024                   77.13
2048                   91.60
4096                   86.10
8192                   86.84
16384                  95.12
32768                 108.16
65536                 129.97
131072                218.95
262144                438.89
524288               1059.72
1048576              1968.83
 
running circ_rs_ag w/ n=11 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      32.20
8                      34.00
16                     37.31
32                     39.42
64                     41.96
128                    45.60
256                    48.33
512                    51.55
1024                   61.55
2048                   83.20
4096                   68.78
8192                   71.47
16384                  78.45
32768                  93.68
65536                 111.82
131072                140.66
262144                191.99
524288                276.63
