running ring w/ n=10 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
16384                 484.78
32768                 495.76
65536                 516.91
131072                535.51
262144                962.20
524288               1064.51
1048576              1246.46
 
running recursive_doubling w/ n=3 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      16.56
8                      16.08
16                     16.07
32                     16.06
64                     16.22
128                    17.37
256                    23.66
512                    24.43
1024                   25.72
2048                   27.52
4096                   30.38
8192                   50.50
16384                  71.06
32768                  93.69
65536                 164.20
131072                256.01
262144                468.27
524288                912.91
1048576              1753.62
 
running reduce_scatter_allgather w/ n=3 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      16.54
8                      15.93
16                     15.94
32                     15.89
64                     16.09
128                    32.46
256                    32.57
512                    32.91
1024                   33.91
2048                   37.63
4096                   44.95
8192                   54.28
16384                  59.16
32768                  74.73
65536                 135.52
131072                206.48
262144                271.63
524288                454.09
1048576               843.10
 
running circ_vring w/ n=3 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      19.14
8                      18.59
16                     18.49
32                     18.47
64                     18.64
128                    19.58
256                    39.81
512                    41.26
1024                   41.44
2048                   44.03
4096                   45.50
8192                   86.38
16384                  97.29
32768                 118.80
65536                 179.32
131072                415.17
262144                867.90
524288               1865.57
1048576              3700.62
 
running circ_rrs_ag w/ n=3 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      32.77
8                      34.73
16                     37.77
32                     40.24
64                     43.93
128                    46.57
256                    48.35
512                    54.65
1024                   58.68
2048                   63.35
4096                   74.25
8192                   96.81
16384                 111.00
32768                 118.98
65536                 143.64
131072                245.56
262144                474.57
524288               1093.18
1048576              2453.83
 
running circ_rs_ag w/ n=3 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      32.94
8                      34.74
16                     37.01
32                     39.09
64                     41.38
128                    44.56
256                    46.05
512                    49.96
1024                   55.73
2048                   61.57
4096                   71.01
8192                   91.12
16384                 107.33
32768                 114.70
65536                 138.62
131072                169.49
262144                244.84
524288                325.39
1048576               506.58
 
running ring w/ n=3 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      12.98
8                      15.75
16                     15.76
32                     17.55
64                     17.61
128                    17.75
256                    17.83
512                    19.02
1024                   30.52
2048                   31.98
4096                   31.98
8192                   33.34
16384                  58.51
32768                  62.15
65536                  69.84
131072                122.93
262144                172.19
524288                301.48
1048576               556.56
 
running recursive_doubling w/ n=3 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      10.14
8                       9.96
16                      9.98
32                      9.98
64                      9.94
128                    10.31
256                    14.92
512                    15.24
1024                   16.61
2048                   16.59
4096                   17.48
8192                   32.02
16384                  36.54
32768                  43.69
65536                  56.08
131072                 77.98
262144                111.64
524288                191.84
1048576               358.77
 
running reduce_scatter_allgather w/ n=3 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      10.15
8                      12.99
16                     12.99
32                     13.05
64                     12.94
128                    13.16
256                    17.37
512                    19.54
1024                   20.00
2048                   21.54
4096                   21.68
8192                   32.58
16384                  43.24
32768                  49.91
65536                  61.71
131072                 82.79
262144                123.08
524288                178.65
1048576               333.56
 
running circ_vring w/ n=3 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       8.88
8                       8.82
16                      8.83
32                      8.81
64                      8.80
128                     9.54
256                    15.29
512                    15.52
1024                   15.73
2048                   16.31
4096                   16.93
8192                   29.05
16384                  32.00
32768                  37.47
65536                  45.77
131072                 59.59
262144                123.53
524288                234.96
1048576               509.25
 
running circ_rrs_ag w/ n=3 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      10.32
8                      14.77
16                     17.85
32                     17.90
64                     17.93
128                    18.12
256                    18.22
512                    19.80
1024                   29.35
2048                   30.88
4096                   30.83
8192                   32.24
16384                  57.38
32768                  63.52
65536                  72.69
131072                110.75
262144                212.25
524288                413.67
1048576               776.89
 
running circ_rs_ag w/ n=3 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      10.43
8                      14.61
16                     17.61
32                     17.57
64                     17.62
128                    17.93
256                    17.69
512                    19.18
1024                   28.90
2048                   29.70
4096                   30.15
8192                   31.39
16384                  55.97
32768                  60.73
65536                  78.52
131072                 86.27
262144                112.49
524288                162.24
1048576               249.59
 
running ring w/ n=3 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     373.89
8                     375.47
16                    376.14
32                    393.03
64                    397.67
128                   429.59
256                   481.11
512                   595.05
1024                  593.38
2048                  593.73
4096                  593.19
8192                  616.52
16384                 623.52
32768                1966.43
65536                1999.87
131072               2044.48
262144               2129.51
524288               2230.92
1048576              4040.14
 
running recursive_doubling w/ n=3 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      22.29
8                      20.81
16                     20.80
32                     21.06
64                     20.97
128                    22.45
256                    28.13
512                    29.37
1024                   30.81
2048                   34.11
4096                   38.53
8192                   60.35
16384                 103.61
32768                 151.30
65536                 259.88
131072                433.95
262144                837.95
524288               1708.61
1048576              3246.86
 
running reduce_scatter_allgather w/ n=3 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      22.38
8                      21.13
16                     21.16
32                     21.51
64                     21.39
128                    22.75
256                    28.50
512                    42.01
1024                   42.18
2048                   43.45
4096                   45.93
8192                   51.53
16384                  66.72
32768                  92.76
65536                 125.80
131072                180.13
262144                378.76
524288                753.00
1048576               991.66
 
running circ_vring w/ n=3 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      26.15
8                      25.12
16                     25.11
32                     25.50
64                     25.21
128                    26.32
256                    47.73
512                    48.58
1024                   49.70
2048                   51.91
4096                   55.33
8192                  116.85
16384                 135.40
32768                 180.15
65536                 259.79
131072                915.64
262144               2051.53
524288               4466.04
1048576              9772.79
 
running circ_rrs_ag w/ n=3 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      41.30
8                      43.38
16                     46.08
32                     48.30
64                     50.83
128                    53.63
256                    61.85
512                    76.85
1024                   83.28
2048                  102.03
4096                  112.30
8192                  122.12
16384                 139.88
32768                 176.15
65536                 208.03
131072                450.24
262144                981.10
524288               2370.14
1048576              5184.83
 
running circ_rs_ag w/ n=3 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      40.60
8                      41.43
16                     45.04
32                     47.29
64                     49.01
128                    50.29
256                    54.36
512                    59.02
1024                   68.43
2048                   90.83
4096                   91.26
8192                  104.96
16384                 129.35
32768                 174.42
65536                 191.71
131072                235.72
262144                325.22
524288                540.17
1048576               899.38
 
running ring w/ n=3 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     785.59
8                     837.40
16                    832.21
32                    836.29
64                    843.07
128                   867.57
256                   946.96
512                  1075.49
1024                 1326.20
2048                 1326.22
4096                 1327.36
8192                 1328.58
16384                1358.56
32768                1404.33
65536                2741.54
131072               2787.00
262144               2847.47
524288               3063.67
1048576              3289.51
 
running recursive_doubling w/ n=3 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      23.63
8                      22.10
16                     21.95
32                     21.87
64                     21.93
128                    23.21
256                    25.63
512                    28.47
1024                   32.26
2048                   35.10
4096                   42.16
8192                   65.14
16384                 128.99
32768                 193.62
65536                 425.09
131072                781.56
262144               1604.34
524288               3364.14
1048576              6081.96
 
running reduce_scatter_allgather w/ n=3 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      23.02
8                      22.38
16                     22.22
32                     22.11
64                     22.16
128                    23.54
256                    25.86
512                    28.72
1024                   44.87
2048                   46.79
4096                   47.42
8192                   57.58
16384                  79.76
32768                 102.19
65536                 173.71
131072                248.40
262144                516.16
524288                838.77
1048576              1693.10
 
running circ_vring w/ n=3 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      27.23
8                      26.61
16                     26.52
32                     26.37
64                     26.30
128                    27.92
256                    36.43
512                    40.15
1024                   40.20
2048                   44.52
4096                   52.40
8192                   95.69
16384                 167.20
32768                 256.80
65536                 412.05
131072               2081.16
262144               4365.41
524288               9365.16
1048576             20052.66
 
running circ_rrs_ag w/ n=3 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      39.04
8                      41.62
16                     44.73
32                     47.77
64                     50.99
128                    57.12
256                    65.61
512                    81.78
1024                  139.98
2048                  255.49
4096                  154.04
8192                  148.80
16384                 158.57
32768                 179.47
65536                 254.70
131072                862.32
262144               2000.96
524288               5078.79
1048576             11282.43
 
running circ_rs_ag w/ n=3 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      38.37
8                      39.95
16                     42.83
32                     45.10
64                     47.36
128                    50.32
256                    53.22
512                    57.95
1024                   97.46
2048                  201.45
4096                   91.90
8192                   87.32
16384                 103.62
32768                 137.41
65536                 217.48
131072                345.96
262144                517.61
524288               1105.27
1048576              2205.48
 
running ring w/ n=4 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     123.16
8                     125.57
16                    128.03
32                    135.90
64                    151.39
128                   174.82
256                   173.64
512                   194.33
1024                  192.95
2048                  202.70
4096                  203.21
8192                  207.14
16384                 393.26
32768                 405.34
65536                 425.33
131072                453.20
262144                765.11
524288                878.85
1048576              1223.90
 
running recursive_doubling w/ n=4 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      15.11
8                      14.74
16                     14.67
32                     14.68
64                     14.90
128                    16.07
256                    19.72
512                    20.81
1024                   22.25
2048                   23.66
4096                   26.28
8192                   41.96
16384                  63.96
32768                  88.33
65536                 165.50
131072                270.39
262144                507.86
524288                998.70
1048576              1878.74
 
running reduce_scatter_allgather w/ n=4 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      14.81
8                      14.47
16                     14.54
32                     14.43
64                     14.57
128                    27.66
256                    27.75
512                    28.48
1024                   30.00
2048                   33.69
4096                   37.93
8192                   44.77
16384                  61.66
32768                  92.63
65536                 130.09
131072                189.88
262144                270.54
524288                498.16
1048576               872.41
 
running circ_vring w/ n=4 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      16.33
8                      15.78
16                     15.77
32                     15.78
64                     15.93
128                    17.01
256                    22.13
512                    23.95
1024                   25.53
2048                   26.92
4096                   29.96
8192                   50.69
16384                  75.99
32768                 109.22
65536                 142.21
131072                537.92
262144               1111.35
524288               2319.11
1048576              4674.05
 
running circ_rrs_ag w/ n=4 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      23.43
8                      25.06
16                     27.48
32                     29.78
64                     32.45
128                    36.99
256                    39.65
512                    42.42
1024                   46.16
2048                   60.98
4096                   51.20
8192                   54.75
16384                  66.02
32768                  80.08
65536                  97.16
131072                185.34
262144                401.11
524288                994.48
1048576              2187.97
 
running circ_rs_ag w/ n=4 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      23.73
8                      24.97
16                     27.34
32                     29.04
64                     30.33
128                    32.81
256                    35.81
512                    37.38
1024                   41.46
2048                   57.87
4096                   45.47
8192                   51.49
16384                  62.22
32768                  75.85
65536                  94.49
131072                116.36
262144                167.05
524288                251.99
1048576               443.44
 
running ring w/ n=4 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      22.64
8                      26.46
16                     31.57
32                     31.62
64                     31.56
128                    31.60
256                    31.60
512                    32.27
1024                   47.59
2048                   48.36
4096                   49.25
8192                   51.43
16384                  52.26
32768                  92.00
65536                 101.45
131072                118.30
262144                193.12
524288                340.65
1048576               620.06
 
running recursive_doubling w/ n=4 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      10.99
8                      10.69
16                     10.70
32                     10.75
64                     10.80
128                    10.93
256                    16.59
512                    16.84
1024                   17.21
2048                   17.94
4096                   18.72
8192                   33.05
16384                  38.60
32768                  46.73
65536                  60.60
131072                 75.55
262144                112.79
524288                211.19
1048576               389.08
 
running reduce_scatter_allgather w/ n=4 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      10.95
8                      10.73
16                     21.01
32                     21.04
64                     21.11
128                    21.10
256                    21.30
512                    27.72
1024                   32.09
2048                   32.84
4096                   33.67
8192                   34.81
16384                  49.29
32768                  68.47
65536                  78.27
131072                 97.93
262144                142.27
524288                184.21
1048576               281.02
 
running circ_vring w/ n=4 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      10.87
8                      10.74
16                     10.65
32                     10.67
64                     10.65
128                    10.92
256                    16.58
512                    16.86
1024                   17.28
2048                   18.05
4096                   18.94
8192                   33.18
16384                  37.89
32768                  46.14
65536                  61.37
131072                131.03
262144                246.59
524288                512.19
1048576              1028.88
 
running circ_rrs_ag w/ n=4 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      12.97
8                      16.90
16                     20.35
32                     20.29
64                     20.32
128                    20.34
256                    20.57
512                    26.91
1024                   31.36
2048                   32.17
4096                   32.82
8192                   34.51
16384                  49.23
32768                  67.79
65536                  78.50
131072                120.82
262144                209.57
524288                465.30
1048576               920.15
 
running circ_rs_ag w/ n=4 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      12.75
8                      16.59
16                     20.00
32                     19.97
64                     20.02
128                    20.00
256                    20.16
512                    25.14
1024                   30.91
2048                   31.67
4096                   32.41
8192                   33.89
16384                  47.47
32768                  66.34
65536                  74.29
131072                 90.17
262144                120.98
524288                165.80
1048576               268.91
 
running ring w/ n=4 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     487.22
8                     492.14
16                    504.58
32                    508.13
64                    516.41
128                   553.78
256                   615.31
512                   724.42
1024                  721.67
2048                  802.02
4096                  803.97
8192                  843.67
16384                 840.61
32768                 855.33
65536                1605.76
131072               1667.97
262144               1750.36
524288               1879.83
1048576              3214.19
 
running recursive_doubling w/ n=4 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      20.40
8                      19.53
16                     19.58
32                     19.52
64                     19.83
128                    20.71
256                    24.22
512                    25.66
1024                   27.93
2048                   30.10
4096                   35.13
8192                   54.49
16384                  97.70
32768                 145.65
65536                 265.83
131072                457.14
262144                888.63
524288               1738.16
1048576              3491.28
 
running reduce_scatter_allgather w/ n=4 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      20.54
8                      19.86
16                     19.47
32                     19.93
64                     19.85
128                    20.88
256                    24.15
512                    36.74
1024                   37.15
2048                   38.64
4096                   42.47
8192                   50.24
16384                  73.31
32768                 135.33
65536                 156.30
131072                272.45
262144                381.13
524288                593.46
1048576              1007.43
 
running circ_vring w/ n=4 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      22.80
8                      21.73
16                     21.77
32                     21.85
64                     22.28
128                    23.22
256                    30.09
512                    30.27
1024                   31.65
2048                   34.70
4096                   40.82
8192                   71.27
16384                 118.55
32768                 174.47
65536                 241.54
131072               1162.91
262144               2369.80
524288               5159.82
1048576             11103.42
 
running circ_rrs_ag w/ n=4 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      32.44
8                      34.21
16                     36.85
32                     39.07
64                     41.99
128                    47.13
256                    53.48
512                    63.36
1024                   82.77
2048                  124.86
4096                   81.22
8192                   87.09
16384                  98.94
32768                 116.54
65536                 149.83
131072                407.73
262144                934.01
524288               2154.28
1048576              4754.91
 
running circ_rs_ag w/ n=4 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      31.24
8                      32.34
16                     34.76
32                     36.63
64                     38.43
128                    41.56
256                    44.23
512                    45.64
1024                   64.22
2048                   97.93
4096                   69.85
8192                   66.47
16384                  76.08
32768                  94.28
65536                 127.79
131072                180.81
262144                283.53
524288                476.03
1048576               854.62
 
running ring w/ n=4 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                    1057.43
8                    1097.81
16                   1095.54
32                   1094.85
64                   1103.76
128                  1128.31
256                  1225.42
512                  1363.67
1024                 1595.81
2048                 1596.05
4096                 1784.01
8192                 1785.92
16384                1869.63
32768                1870.51
65536                1900.57
131072               3787.13
262144               3818.30
524288               3898.40
1048576              4322.10
 
running recursive_doubling w/ n=4 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      25.19
8                      24.70
16                     24.55
32                     24.13
64                     24.27
128                    25.59
256                    29.22
512                    32.43
1024                   35.42
2048                   38.39
4096                   46.59
8192                   72.62
16384                 136.04
32768                 205.09
65536                 438.87
131072                772.91
262144               1633.34
524288               3458.59
1048576              6181.53
 
running reduce_scatter_allgather w/ n=4 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      25.31
8                      24.66
16                     24.35
32                     24.24
64                     24.24
128                    25.73
256                    29.40
512                    32.73
1024                   48.22
2048                   49.73
4096                   60.26
8192                   65.27
16384                 110.91
32768                 116.85
65536                 210.85
131072                318.11
262144                414.55
524288                731.25
1048576              1572.43
 
running circ_vring w/ n=4 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      29.63
8                      27.47
16                     27.19
32                     27.26
64                     27.37
128                    28.79
256                    35.06
512                    37.25
1024                   39.70
2048                   44.24
4096                   53.98
8192                   93.16
16384                 199.67
32768                 320.75
65536                 486.51
131072               2896.10
262144               5743.16
524288              12187.89
1048576             26144.85
 
running circ_rrs_ag w/ n=4 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      39.69
8                      41.78
16                     44.18
32                     47.05
64                     50.28
128                    57.45
256                    65.61
512                    80.46
1024                  129.40
2048                  279.27
4096                  161.19
8192                  150.56
16384                 162.79
32768                 188.02
65536                 256.12
131072                890.95
262144               2018.83
524288               4962.10
1048576             11060.74
 
running circ_rs_ag w/ n=4 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      38.36
8                      39.43
16                     42.09
32                     44.30
64                     45.96
128                    50.15
256                    53.33
512                    55.67
1024                   73.75
2048                  202.39
4096                   85.02
8192                   87.24
16384                  98.16
32768                 129.42
65536                 192.15
131072                300.89
262144                508.74
524288               1051.92
1048576              2236.77
 
running ring w/ n=5 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     160.13
8                     162.52
16                    164.91
32                    169.43
64                    184.82
128                   211.87
256                   209.12
512                   225.30
1024                  241.97
2048                  253.23
4096                  253.36
8192                  260.32
16384                 735.43
32768                 757.43
65536                 776.81
131072                818.84
262144               1446.63
524288               1550.31
1048576              1834.83
 
running recursive_doubling w/ n=5 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      18.79
8                      18.16
16                     18.07
32                     18.04
64                     18.30
128                    19.87
256                    28.17
512                    29.23
1024                   31.05
2048                   31.83
4096                   34.83
8192                   57.65
16384                  78.42
32768                 100.78
65536                 168.09
131072                274.46
262144                515.86
524288               1013.42
1048576              1903.73
 
running reduce_scatter_allgather w/ n=5 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      18.68
8                      18.12
16                     18.10
32                     18.06
64                     18.30
128                    35.70
256                    35.85
512                    37.24
1024                   40.37
2048                   42.64
4096                   53.11
8192                   62.42
16384                  82.57
32768                 103.89
65536                 128.68
131072                225.23
262144                321.46
524288                595.77
1048576              1032.22
 
running circ_vring w/ n=5 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      19.61
8                      19.04
16                     19.02
32                     18.98
64                     19.27
128                    20.56
256                    35.38
512                    37.89
1024                   38.15
2048                   39.78
4096                   42.91
8192                   81.72
16384                  94.57
32768                 121.86
65536                 177.35
131072                588.17
262144               1256.48
524288               2515.41
1048576              5020.74
 
running circ_rrs_ag w/ n=5 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      32.92
8                      34.65
16                     37.05
32                     38.26
64                     42.03
128                    45.29
256                    49.63
512                    53.51
1024                   64.12
2048                   71.98
4096                   84.54
8192                   89.81
16384                 103.56
32768                 113.11
65536                 150.38
131072                242.11
262144                456.28
524288               1014.33
1048576              2120.00
 
running circ_rs_ag w/ n=5 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      32.88
8                      34.28
16                     36.92
32                     37.89
64                     40.73
128                    42.64
256                    44.40
512                    47.09
1024                   57.39
2048                   64.29
4096                   73.80
8192                   74.56
16384                  97.62
32768                 106.66
65536                 146.18
131072                177.47
262144                226.55
524288                298.62
1048576               458.97
 
running ring w/ n=5 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      27.30
8                      31.52
16                     36.27
32                     36.25
64                     36.34
128                    38.33
256                    38.57
512                    40.53
1024                   57.08
2048                   63.22
4096                   63.90
8192                   65.88
16384                  76.64
32768                 121.38
65536                 132.11
131072                151.85
262144                247.14
524288                444.80
1048576               728.50
 
running recursive_doubling w/ n=5 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      13.81
8                      13.72
16                     13.74
32                     13.79
64                     13.79
128                    14.87
256                    21.12
512                    21.27
1024                   21.82
2048                   23.20
4096                   24.38
8192                   48.96
16384                  54.45
32768                  65.82
65536                  86.15
131072                117.46
262144                167.94
524288                293.55
1048576               555.55
 
running reduce_scatter_allgather w/ n=5 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      13.09
8                      12.85
16                     22.51
32                     22.58
64                     22.60
128                    23.10
256                    24.70
512                    30.62
1024                   35.00
2048                   36.88
4096                   37.05
8192                   47.43
16384                  61.94
32768                  80.64
65536                  94.13
131072                116.92
262144                159.59
524288                236.68
1048576               395.45
 
running circ_vring w/ n=5 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      15.28
8                      14.85
16                     14.82
32                     14.99
64                     14.93
128                    15.49
256                    23.48
512                    23.80
1024                   24.59
2048                   25.22
4096                   26.01
8192                   48.88
16384                  53.76
32768                  63.45
65536                  82.84
131072                101.10
262144                195.44
524288                358.86
1048576               696.82
 
running circ_rrs_ag w/ n=5 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      14.39
8                      20.20
16                     28.19
32                     29.41
64                     29.41
128                    29.51
256                    29.95
512                    36.40
1024                   45.54
2048                   46.31
4096                   48.58
8192                   49.81
16384                  63.79
32768                  95.95
65536                 106.51
131072                144.32
262144                263.84
524288                503.07
1048576               908.64
 
running circ_rs_ag w/ n=5 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      14.43
8                      20.16
16                     27.73
32                     29.14
64                     29.23
128                    29.19
256                    29.64
512                    34.37
1024                   45.55
2048                   46.18
4096                   47.08
8192                   49.58
16384                  62.73
32768                  95.73
65536                 106.14
131072                133.45
262144                160.47
524288                212.84
1048576               332.74
 
running ring w/ n=5 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     613.30
8                     618.45
16                    628.89
32                    631.48
64                    639.14
128                   677.44
256                   741.27
512                   855.46
1024                  854.24
2048                  922.52
4096                  993.11
8192                 1041.49
16384                1040.07
32768                1071.08
65536                3330.11
131072               3413.70
262144               3516.07
524288               3711.32
1048576              6513.54
 
running recursive_doubling w/ n=5 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      26.04
8                      24.70
16                     24.63
32                     24.55
64                     24.82
128                    26.27
256                    33.84
512                    34.99
1024                   36.76
2048                   40.20
4096                   44.08
8192                   73.18
16384                 111.56
32768                 159.95
65536                 265.18
131072                461.27
262144                869.99
524288               1975.42
1048576              3465.02
 
running reduce_scatter_allgather w/ n=5 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      25.95
8                      25.31
16                     25.25
32                     25.20
64                     25.35
128                    26.82
256                    34.48
512                    47.85
1024                   48.53
2048                   50.09
4096                   53.86
8192                   66.60
16384                  83.77
32768                 149.20
65536                 160.94
131072                312.53
262144                456.22
524288                676.97
1048576              1102.85
 
running circ_vring w/ n=5 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      29.20
8                      28.61
16                     28.51
32                     28.25
64                     28.50
128                    29.66
256                    50.25
512                    52.29
1024                   53.18
2048                   55.37
4096                   59.29
8192                  118.81
16384                 139.91
32768                 189.23
65536                 270.67
131072               1241.76
262144               2448.57
524288               5086.65
1048576             10894.01
 
running circ_rrs_ag w/ n=5 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      44.91
8                      45.86
16                     47.91
32                     49.95
64                     52.13
128                    56.31
256                    68.20
512                    79.81
1024                  105.88
2048                  133.40
